time,open,high,low,close,tick_volume,spread,real_volume,datetime
1737734400,1.05155,1.052,1.05114,1.05138,1313,9,0,2025-01-24 16:00:00
1737735300,1.05139,1.05147,1.05086,1.05132,894,9,0,2025-01-24 16:15:00
1737736200,1.05132,1.05168,1.05111,1.0513,679,9,0,2025-01-24 16:30:00
1737737100,1.05129,1.05169,1.05048,1.05141,1070,9,0,2025-01-24 16:45:00
1737738000,1.05139,1.05197,1.05121,1.05186,766,9,0,2025-01-24 17:00:00
1737738900,1.05186,1.05211,1.05121,1.05124,668,9,0,2025-01-24 17:15:00
1737739800,1.05127,1.05175,1.05115,1.05149,521,9,0,2025-01-24 17:30:00
1737740700,1.05149,1.05152,1.05096,1.05106,618,9,0,2025-01-24 17:45:00
1737741600,1.05105,1.05116,1.05055,1.05086,596,9,0,2025-01-24 18:00:00
1737742500,1.05087,1.05091,1.05014,1.05025,548,9,0,2025-01-24 18:15:00
1737743400,1.05027,1.0504,1.04976,1.04976,422,9,0,2025-01-24 18:30:00
1737744300,1.04977,1.04981,1.04937,1.04948,491,9,0,2025-01-24 18:45:00
1737745200,1.04947,1.04954,1.04918,1.04946,425,9,0,2025-01-24 19:00:00
1737746100,1.04946,1.04952,1.04933,1.04949,249,9,0,2025-01-24 19:15:00
1737747000,1.04949,1.04982,1.04946,1.04963,418,9,0,2025-01-24 19:30:00
1737747900,1.04963,1.04971,1.04917,1.04951,427,9,0,2025-01-24 19:45:00
1737748800,1.04949,1.04949,1.04901,1.04939,455,9,0,2025-01-24 20:00:00
1737749700,1.04939,1.04961,1.04918,1.04937,367,9,0,2025-01-24 20:15:00
1737750600,1.04936,1.04939,1.04879,1.04904,340,9,0,2025-01-24 20:30:00
1737751500,1.04902,1.04947,1.04888,1.04941,367,9,0,2025-01-24 20:45:00
1737752400,1.04942,1.0497,1.04935,1.04963,224,9,0,2025-01-24 21:00:00
1737753300,1.04963,1.04967,1.04932,1.04941,171,9,0,2025-01-24 21:15:00
1737754200,1.04941,1.04958,1.04927,1.04955,220,9,0,2025-01-24 21:30:00
1737755100,1.04953,1.04961,1.04919,1.04942,409,9,0,2025-01-24 21:45:00
1737928800,1.04789,1.04796,1.04764,1.04786,125,58,0,2025-01-26 22:00:00
1737929700,1.04787,1.04814,1.04787,1.04813,137,55,0,2025-01-26 22:15:00
1737930600,1.04814,1.04827,1.04804,1.0482,121,40,0,2025-01-26 22:30:00
1737931500,1.0482,1.04827,1.04816,1.04827,103,22,0,2025-01-26 22:45:00
1737932400,1.04831,1.04852,1.04744,1.04756,630,9,0,2025-01-26 23:00:00
1737933300,1.04758,1.04767,1.04704,1.04724,353,9,0,2025-01-26 23:15:00
1737934200,1.04725,1.04731,1.04685,1.04721,310,9,0,2025-01-26 23:30:00
1737935100,1.04721,1.04721,1.04648,1.04672,347,9,0,2025-01-26 23:45:00
1737936000,1.04672,1.04683,1.04651,1.04671,409,9,0,2025-01-27 00:00:00
1737936900,1.04672,1.04744,1.04664,1.04739,436,9,0,2025-01-27 00:15:00
1737937800,1.04739,1.04758,1.04703,1.04719,400,9,0,2025-01-27 00:30:00
1737938700,1.04719,1.04752,1.04708,1.04723,415,9,0,2025-01-27 00:45:00
1737939600,1.04723,1.04784,1.04717,1.04771,608,9,0,2025-01-27 01:00:00
1737940500,1.0477,1.04778,1.04713,1.0472,557,9,0,2025-01-27 01:15:00
1737941400,1.0472,1.04721,1.04619,1.04649,789,9,0,2025-01-27 01:30:00
1737942300,1.04649,1.04662,1.04609,1.04626,686,9,0,2025-01-27 01:45:00
1737943200,1.04625,1.04651,1.04597,1.04609,481,9,0,2025-01-27 02:00:00
1737944100,1.04608,1.04634,1.04594,1.0462,416,9,0,2025-01-27 02:15:00
1737945000,1.04621,1.04633,1.04587,1.0463,384,9,0,2025-01-27 02:30:00
1737945900,1.0463,1.04661,1.04615,1.04657,369,9,0,2025-01-27 02:45:00
1737946800,1.04657,1.04712,1.04628,1.0471,589,9,0,2025-01-27 03:00:00
1737947700,1.0471,1.04772,1.04679,1.047,834,9,0,2025-01-27 03:15:00
1737948600,1.04698,1.04714,1.04659,1.04673,467,9,0,2025-01-27 03:30:00
1737949500,1.04675,1.04694,1.04635,1.04683,369,9,0,2025-01-27 03:45:00
1737950400,1.04683,1.04686,1.04657,1.04661,288,9,0,2025-01-27 04:00:00
1737951300,1.0466,1.04671,1.04626,1.0463,375,9,0,2025-01-27 04:15:00
1737952200,1.0463,1.04636,1.04594,1.04635,392,9,0,2025-01-27 04:30:00
1737953100,1.04634,1.04655,1.04628,1.04628,298,9,0,2025-01-27 04:45:00
1737954000,1.04628,1.0463,1.04558,1.04571,350,9,0,2025-01-27 05:00:00
1737954900,1.04571,1.04594,1.04556,1.04586,348,9,0,2025-01-27 05:15:00
1737955800,1.04588,1.0461,1.04575,1.04602,347,9,0,2025-01-27 05:30:00
1737956700,1.046,1.04643,1.046,1.04625,393,9,0,2025-01-27 05:45:00
1737957600,1.04625,1.04636,1.04579,1.04616,495,9,0,2025-01-27 06:00:00
1737958500,1.04618,1.0465,1.046,1.04635,475,9,0,2025-01-27 06:15:00
1737959400,1.04635,1.04638,1.04582,1.04583,436,9,0,2025-01-27 06:30:00
1737960300,1.04583,1.04605,1.04563,1.04589,486,9,0,2025-01-27 06:45:00
1737961200,1.04589,1.0462,1.04534,1.04562,833,9,0,2025-01-27 07:00:00
1737962100,1.0456,1.04633,1.04539,1.04613,820,9,0,2025-01-27 07:15:00
1737963000,1.04614,1.04707,1.04598,1.04703,782,9,0,2025-01-27 07:30:00
1737963900,1.047,1.04708,1.04558,1.04569,967,9,0,2025-01-27 07:45:00
1737964800,1.04568,1.04719,1.04541,1.04715,1118,9,0,2025-01-27 08:00:00
1737965700,1.04715,1.04773,1.04686,1.04726,1125,9,0,2025-01-27 08:15:00
1737966600,1.04724,1.04786,1.04708,1.04782,958,9,0,2025-01-27 08:30:00
1737967500,1.04785,1.04883,1.04773,1.04872,1064,9,0,2025-01-27 08:45:00
1737968400,1.04873,1.04925,1.04796,1.04909,1461,9,0,2025-01-27 09:00:00
1737969300,1.04911,1.04936,1.04776,1.04821,1298,9,0,2025-01-27 09:15:00
1737970200,1.04821,1.04844,1.04748,1.04836,1121,9,0,2025-01-27 09:30:00
1737971100,1.04836,1.04892,1.04795,1.04883,947,9,0,2025-01-27 09:45:00
1737972000,1.04885,1.05019,1.04885,1.04934,1352,9,0,2025-01-27 10:00:00
1737972900,1.04934,1.04986,1.04913,1.0496,1311,9,0,2025-01-27 10:15:00
1737973800,1.04959,1.05044,1.04956,1.05043,1088,9,0,2025-01-27 10:30:00
1737974700,1.05041,1.05088,1.05007,1.05049,1119,9,0,2025-01-27 10:45:00
1737975600,1.0505,1.05172,1.0504,1.05135,1150,9,0,2025-01-27 11:00:00
1737976500,1.05133,1.05146,1.05074,1.0513,1079,9,0,2025-01-27 11:15:00
1737977400,1.05131,1.05179,1.05094,1.05109,1076,9,0,2025-01-27 11:30:00
1737978300,1.05107,1.05147,1.05082,1.05126,801,9,0,2025-01-27 11:45:00
1737979200,1.05125,1.05178,1.05092,1.05098,915,9,0,2025-01-27 12:00:00
1737980100,1.05101,1.05149,1.05083,1.0514000000000001,889,9,0,2025-01-27 12:15:00
1737981000,1.05141,1.05185,1.0512,1.05154,876,9,0,2025-01-27 12:30:00
